"filename", "language", "JSON", "HTML", "JavaScript", "MS SQL", "JavaScript JSX", "PostCSS", "Markdown", "Dotenv", "XML", "comment", "blank", "total"
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\adminComponents\ExistingTestCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 3, 35
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\ExamTakingScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 473, 0, 0, 0, 0, 22, 40, 535
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\MistakesCopy.jsx", "JavaScript JSX", 0, 0, 0, 0, 179, 0, 0, 0, 0, 4, 27, 210
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\PreviousTestCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 0, 3, 11, 116
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\PreviousTestsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 3, 48
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\ChapterSelectButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 9, 7, 64
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\CustomMixTestPopUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 3, 20, 121
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\QuizMakingStep1.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\QuizMakingStep2.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 4, 52
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\QuizMakingStep3.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\QuizMakingStep4.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 10, 162
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\QuizBuilderComponents\TopicSelectButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 9, 57
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\SavedCopy.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 4, 16, 135
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\SavedMCQCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 14, 110
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\TestReviewCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 174, 0, 0, 0, 0, 6, 25, 205
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\TestSyllabusPopUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 0, 0, 0, 0, 6, 15, 148
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\userComponents\UpcomingTestCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 12, 129
